,movie_name,director_name,popularity
1782,The Usual Suspects,Bryan Singer,64
1783,Casablanca,Michael Curtiz,97
1784,A City of Sadness,Hou Hsiao-Hsien,20
1785,The Silence of the Lambs,Jonathan Demme,92
1786,Snow White and the Seven Dwarfs,David Hand,118
1787,Snow White and the Seven Dwarfs,Wilfred Jackson,118
1788,Snow White and the Seven Dwarfs,William Cottrell,118
1789,Snow White and the Seven Dwarfs,Ben Sharpsteen,118
1790,Snow White and the Seven Dwarfs,Larry Morey,118
1791,Snow White and the Seven Dwarfs,Percival C. Pearce,118
1792,Forrest Gump,Robert Zemeckis,126
1793,The Heat,Paul Feig,36
1794,Bullet to the Head,Walter Hill,31
1795,The Sweet Hereafter,Atom Egoyan,23
1796,Bird on a Wire,John Badham,28
1797,Rashomon,Akira Kurosawa,62
1798,The Invisible Man,James Whale,33
1799,Killing Them Softly,Andrew Dominik,33
1800,Z,Costa-Gavras,38
1801,The Gendarme and the Extra-Terrestrials,Jean Girault,25
1802,The Gendarme and the Gendarmettes,Jean Girault,23
1803,The Gendarme and the Gendarmettes,Tony Aboyantz,23
1804,Grace of Monaco,Olivier Dahan,32
1805,Pitch Perfect,Jason Moore,41
1806,Once,John Carney,29
1807,The Yards,James Gray,19
1808,Rampart,Oren Moverman,16
1809,Zabriskie Point,Michelangelo Antonioni,34
1810,La Bamba,Luis Valdez,19
1811,The Lives of a Bengal Lancer,Henry Hathaway,24
1812,The Wrestler,Darren Aronofsky,44
1813,Ghost World,Terry Zwigoff,30
1814,Zack and Miri Make a Porno,Kevin Smith,29
1815,She's Out of My League,Jim Field Smith,28
1816,Lorna's Silence,Luc Dardenne,15
1817,Sex Drive,Sean Anders,21
1818,Urban Cowboy,James Bridges,20
1819,Black Orpheus,Marcel Camus,42
1820,Breaking the Waves,Lars von Trier,36
1821,Shining Through,David Seltzer,18
1822,Dark Blue World,Jan Svěrák,17
1823,Royal Wedding,Stanley Donen,21
1824,Ink,Jamin Winans,16
1825,Rosa Luxemburg,Margarethe von Trotta,18
1826,Bad Boys II,Michael Bay,38
1827,The Glimmer Man,John Gray,22
1828,Dave,Ivan Reitman,30
1829,"Brother Sun, Sister Moon",Franco Zeffirelli,26
1830,Short Circuit,John Badham,30
1831,The Arrival,David Twohy,18
1832,"Germany, Year Zero",Roberto Rossellini,27
1833,Jumper,Doug Liman,43
1834,Another Woman,Woody Allen,26
1835,Faust,Alexander Sokurov,24
1836,13 Ghosts,William Castle,17
1837,Being Flynn,Paul Weitz,15
1838,Sorcerer,William Friedkin,24
1839,Powaqqatsi,Godfrey Reggio,16
1840,Vengeance Valley,Richard Thorpe,15
1841,Agatha,Michael Apted,22
1842,The Seventh Continent,Michael Haneke,23
1843,Zorro,Duccio Tessari,21
1844,The Million Dollar Hotel,Wim Wenders,21
1845,My Night at Maud's,Éric Rohmer,27
1846,The Sorcerer and the White Snake,Ching Siu-tung,15
1847,Alphaville,Jean-Luc Godard,33
1848,Anchors Aweigh,George Sidney,29
1849,Surviving Christmas,Mike Mitchell,25
1850,Far Cry,Uwe Boll,20
1851,Attack of the 50 Foot Woman,Nathan H. Juran,20
1852,Attack of the Killer Tomatoes,John De Bello,19
1853,Why Does Herr R. Run Amok?,Rainer Werner Fassbinder,16
1854,Why Does Herr R. Run Amok?,Michael Fengler,16
1855,Best Defense,Willard Huyck,17
1856,Dead Silence,James Wan,32
1857,Total Eclipse,Agnieszka Holland,37
1858,Fail-Safe,Sidney Lumet,26
1859,Replicant,Ringo Lam,22
1860,The Ides of March,George Clooney,38
1861,And Soon the Darkness,Marcos Kaplan,16
1862,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,31
1863,Peur sur la ville,Henri Verneuil,17
1864,Kickboxer,David Worth,33
1865,Kickboxer,Mark DiSalle,33
1866,Play Misty for Me,Clint Eastwood,26
1867,Melissa P.,Luca Guadagnino,18
1868,Pelle the Conqueror,Bille August,30
1869,The Air I Breathe,Jieho Lee,20
1870,Love Me If You Dare,Yann Samuell,28
1871,The Big Store,Charles Reisner,17
1872,Fright Night,Tom Holland,28
1873,Mrs. Winterbourne,Richard Benjamin,16
1874,Red Psalm,Miklós Jancsó,15
1875,Torn Curtain,Alfred Hitchcock,34
1876,Torn Curtain,Keith Waterhouse,34
1877,Torn Curtain,Willis Hall,34
1878,Billy Madison,Tamra Davis,22
1879,RoboCop,Paul Verhoeven,52
1880,The Towering Inferno,John Guillermin,42
1881,The Faculty,Robert Rodriguez,30
1882,A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,37
1883,Imitation of Life,Douglas Sirk,31
1884,Eureka,Nicolas Roeg,15
1885,My Soul to Take,Wes Craven,20
1886,Porgy and Bess,Rouben Mamoulian,20
1887,Porgy and Bess,Otto Preminger,20
1888,Porgy and Bess,Paul Helmick,20
1889,Maniac,William Lustig,16
1890,The Rookie,Clint Eastwood,24
1891,One Million B.C.,D. W. Griffith,16
1892,One Million B.C.,Hal Roach,16
1893,One Million B.C.,"Hal Roach, Jr.",16
1894,War,Philip Atwell,27
1895,Libeled Lady,Jack Conway,22
1896,Born Yesterday,George Cukor,35
1897,Fantozzi,Luciano Salce,19
1898,The Medallion,Gordon Chan,27
1899,American Graffiti,George Lucas,46
1900,The Red Violin,François Girard,26
1901,Mean Machine,Barry Skolnick,20
1902,The Other Guys,Adam McKay,34
1903,The Amityville Curse,Tom Berry,15
1904,Splice,Vincenzo Natali,28
1905,The Last Adventure,Robert Enrico,20
1906,The Desperate Hours,William Wyler,18
1907,The Desert Rats,Robert Wise,16
1908,Madame Du Barry,Ernst Lubitsch,15
1909,An American Crime,Tommy O'Haver,20
1910,An Education,Lone Scherfig,36
1911,The Story of Us,Rob Reiner,22
1912,Jacob's Ladder,Adrian Lyne,27
1913,Away from Her,Sarah Polley,27
1914,Any Given Sunday,Oliver Stone,38
1915,My Sassy Girl,Kwak Jae-yong,31
1916,Pietà,Kim Ki-duk,25
1917,Anacondas: The Hunt for the Blood Orchid,Dwight H. Little,39
1918,Mother,Bong Joon-ho,19
1919,Thirst,Park Chan-wook,19
1920,Sympathy for Mr. Vengeance,Park Chan-wook,26
1921,Mrs. Doubtfire,Chris Columbus,55
1922,Time,Kim Ki-duk,16
1923,Schindler's List,Steven Spielberg,90
1924,Amélie,Jean-Pierre Jeunet,74
1925,2009: Lost Memories,Lee Si-myeong,17
1926,Spider-Man,Sam Raimi,78
1927,Léon: The Professional,Luc Besson,67
1928,The Lincoln Lawyer,Brad Furman,34
1929,Legion,Scott Stewart,27
1930,Murder by Death,Robert Moore,28
1931,Gordy,Mark Lewis,45
1932,Freedom Writers,Richard LaGravenese,32
1933,Mission: Impossible III,J. J. Abrams,51
1934,Grosse Pointe Blank,George Armitage,19
1935,The Hunchback of Notre Dame,Wallace Worsley,24
1936,G.I. Joe: The Rise of Cobra,Stephen Sommers,44
1937,Machuca,Andrés Wood,16
1938,The Next Karate Kid,Christopher Cain,30
1939,Lost Highway,David Lynch,39
1940,Falling Down,Joel Schumacher,35
1941,The Silent World,Louis Malle,20
1942,The Silent World,Jacques Cousteau,20
1943,"You, Me and Dupree",Anthony Russo,30
1944,"You, Me and Dupree",Joe Russo,30
1945,Bogus,Norman Jewison,15
1946,The Seven Year Itch,Billy Wilder,40
1947,Getting Even with Dad,Howard Deutch,16
1948,Sans Soleil,Chris Marker,18
1949,Boogie Nights,Paul Thomas Anderson,37
1950,The Cure for Insomnia,John Henry Timmis IV,17
1951,Mansfield Park,Patricia Rozema,16
1952,"I Love You, Beth Cooper",Chris Columbus,23
1953,A Better Life,Chris Weitz,24
1954,A Chinese Ghost Story,Ching Siu-tung,19
1955,A Chorus Line,Richard Attenborough,15
1956,A Dangerous Man,Keoni Waxman,16
1957,A Dirty Shame,John Waters,16
1958,A History of Violence,David Cronenberg,38
1959,A Little Trip to Heaven,Baltasar Kormákur,15
1960,A Night at the Roxbury,Amy Heckerling,25
1961,A Night at the Roxbury,John Fortenberry,25
1962,A Perfect Getaway,David Twohy,24
1963,A Scanner Darkly,Richard Linklater,27
1964,A Serbian Film,Srđan Spasojević,36
1965,A Serious Man,Joel Coen,38
1966,A Serious Man,Ethan Coen,38
1967,A Single Man,Tom Ford,34
1968,A Sound of Thunder,Peter Hyams,21
1969,A Star Is Born,Frank Pierson,26
1970,A Ticket to Tomahawk,Richard Sale,15
1971,Il Mare,Lee Hyeon-seung,15
1972,A Bittersweet Life,Kim Ji-woon,15
1973,Castaway on the Moon,Lee Hae-jun,18
1974,Pineapple Express,David Gordon Green,33
1975,Anand,Hrishikesh Mukherjee,17
1976,"I'm a Cyborg, But That's OK",Park Chan-wook,16
1977,The Man from Nowhere,Lee Jeong-beom,18
1978,I Saw the Devil,Kim Ji-woon,24
1979,The Isle,Kim Ki-duk,16
1980,Saw,James Wan,63
1981,Support Your Local Sheriff!,Burt Kennedy,15
1982,Anastasia,Anatole Litvak,29
1983,The Man Who Knew Too Much,Alfred Hitchcock,43
1984,Swordfish,Dominic Sena,38
1985,The Lake House,Alejandro Agresti,42
1986,Requiem for a Dream,Darren Aronofsky,59
1987,Stoker,Park Chan-wook,35
1988,My Way,Kang Je-gyu,16
1989,Innocence of Muslims,Nakoula Basseley Nakoula,42
1990,La Grande Vadrouille,Gérard Oury,41
1991,Austin Powers: The Spy Who Shagged Me,Jay Roach,40
1992,Witness,Peter Weir,42
1993,Memories of Murder,Bong Joon-ho,34
1994,The Host,Bong Joon-ho,29
1995,Anatomy,Stefan Ruzowitzky,16
1996,The Clearing,Pieter Jan Brugge,15
1997,Anatomy of a Murder,Otto Preminger,37
1998,Groundhog Day,Harold Ramis,59
1999,"The Good, the Bad, the Weird",Kim Ji-woon,19
2000,Hannie Caulder,Burt Kennedy,16
2001,Flash Point,Wilson Yip,15
2002,Bel Ami,Declan Donnellan,25
2003,Bel Ami,Nick Ormerod,25
2004,Running on Empty,Sidney Lumet,17
2005,Angelique and the Sultan,Bernard Borderie,16
2006,Caramel,Nadine Labaki,24
2007,Northwest Passage,King Vidor,17
2008,Northwest Passage,Jack Conway,17
2009,Northwest Passage,W. S. Van Dyke,17
2010,Night of the Living Dead,Tom Savini,23
2011,Monkey Business,Howard Hawks,30
2012,The First Great Train Robbery,Michael Crichton,23
2013,The Domino Principle,Stanley Kramer,15
2014,Frankenstein,James Whale,45
2015,Suspiria,Dario Argento,33
2016,Everybody's Fine,Kirk Jones,25
2017,The Fall,Tarsem Singh,22
2018,Dead Man,Jim Jarmusch,41
2019,Silk Stockings,Rouben Mamoulian,18
2020,Ossessione,Luchino Visconti,31
2021,Animal Crackers,Victor Heerman,19
2022,Bus Stop,Joshua Logan,26
2023,The Animal,Luke Greenfield,24
2024,Birdemic: Shock and Terror,James Nguyen,16
2025,Think like a Man,Tim Story,17
2026,The Tailor of Panama,John Boorman,23
2027,Day of the Dead,Steve Miner,19
2028,Blame It on Rio,Stanley Donen,19
2029,Largo Winch II,Jérôme Salle,16
2030,Mr. Brooks,Bruce A. Evans,26
2031,The Barbarian Invasions,Denys Arcand,32
2032,Charlie Bartlett,Jon Poll,17
2033,The Last Exorcism,Daniel Stamm,21
2034,Firewall,Richard Loncraine,29
2035,Varsity Blues,Brian Robbins,20
2036,Spy Kids 2: The Island of Lost Dreams,Robert Rodriguez,30
2037,Spy Kids 3-D: Game Over,Robert Rodriguez,34
2038,Much Ado About Nothing,Kenneth Branagh,24
2039,Monte Carlo,Thomas Bezucha,35
2040,Children of Nature,Friðrik Þór Friðriksson,21
2041,Another Cinderella Story,Damon Santostefano,31
2042,Strange Days,Kathryn Bigelow,32
2043,Spy Kids,Robert Rodriguez,38
2044,Spy Kids: All the Time in the World,Robert Rodriguez,29
2045,The Student of Prague,Paul Wegener,20
2046,The Student of Prague,Hanns Heinz Ewers,20
2047,The Student of Prague,Stellan Rye,20
2048,Anjaam,Rahul Rawail,17
2049,Young Törless,Volker Schlöndorff,16
2050,Deconstructing Harry,Woody Allen,31
2051,Scanners,David Cronenberg,24
2052,Lorna's Silence,Jean-Pierre Dardenne,15
2053,Three Nuts for Cinderella,Václav Vorlíček,26
2054,Le gendarme se marie,Jean Girault,25
2055,The gendarme to stroll,Jean Girault,24
2056,Oliver!,Carol Reed,40
2057,Big Business,Jim Abrahams,18
2058,The Cousins,Claude Chabrol,21
2059,The Cousins,Philippe de Broca,21
2060,Traffic,Steven Soderbergh,45
2061,Elite Squad: The Enemy Within,José Padilha,17
2062,The Train,Arthur Penn,22
2063,The Train,John Frankenheimer,22
2064,Tooth Fairy,Michael Lembeck,24
2065,Abduction,John Singleton,33
2066,Holy Smoke!,Jane Campion,22
2067,The Headless Horseman,Vladimir Vajnshtok,17
2068,Berserk!,Jim O'Connolly,15
2069,The Last of the Mohicans,Michael Mann,46
2070,Let the Right One In,Tomas Alfredson,28
2071,Adam,Max Mayer,21
2072,Hatari!,Howard Hawks,24
2073,Hatari!,Paul Helmick,24
2074,Zamaana Deewana,Ramesh Sippy,15
2075,Hans Christian Andersen,Charles Vidor,17
2076,Basic Instinct,Paul Verhoeven,58
2077,Funny Face,Stanley Donen,38
2078,Chernobyl Diaries,Bradley Parker,26
2079,Zardoz,John Boorman,26
2080,Ivan's Childhood,Andrei Tarkovsky,48
2081,Bitter Rice,Giuseppe De Santis,31
2082,Heaven's Gate,Michael Cimino,29
2083,Zathura: A Space Adventure,Jon Favreau,40
2084,Zatōichi,Takeshi Kitano,23
2085,Meeting Venus,István Szabó,15
2086,Feast of Love,Robert Benton,17
2087,Prelude to a Kiss,Norman René,16
2088,Practical Magic,Griffin Dunne,34
2089,Obsessed,Steve Shill,26
2090,Cadillac Records,Darnell Martin,20
2091,Crank,Brian Taylor,36
2092,Crank,Mark Neveldine,36
2093,The Pianist,Roman Polanski,71
2094,The Great War,Mario Monicelli,30
2095,Raise Ravens,Carlos Saura,23
2096,The Power of One,John G. Avildsen,24
2097,Strike,Sergei Eisenstein,34
2098,The Loves of Pharaoh,Ernst Lubitsch,17
2099,Kambakkht Ishq,Sabbir Khan,16
2100,Metropolis,Fritz Lang,62
2101,My Little Eye,Marc Evans,16
2102,The Luzhin Defence,Marleen Gorris,16
2103,The Hunted,William Friedkin,21
2104,Nathalie...,Anne Fontaine,22
2105,Lady Chatterley,Pascale Ferran,17
2106,To Live,Zhang Yimou,22
2107,The Science of Sleep,Michel Gondry,21
2108,Must Love Dogs,Gary David Goldberg,24
2109,The Heartbreak Kid,Bobby Farrelly,28
2110,Aaja Nachle,Anil Mehta,18
2111,Book of Shadows: Blair Witch 2,Joe Berlinger,23
2112,Latter Days,C. Jay Cox,27
2113,Winter's Bone,Debra Granik,35
2114,Stuck on You,Bobby Farrelly,22
2115,Stuck on You,Peter Farrelly,22
2116,Homegrown,Stephen Gyllenhaal,15
2117,Fallen Angel,Otto Preminger,15
2118,Lady for a Day,Frank Capra,25
2119,Harsh Times,David Ayer,18
2120,Boiling Point,Takeshi Kitano,18
2121,I Know What You Did Last Summer,Jim Gillespie,44
2122,The Crow: City of Angels,Tim Pope,22
2123,Callas Forever,Franco Zeffirelli,16
2124,The Mission,Roland Joffé,51
2125,Oscar,John Landis,22
2126,From Beginning to End,Aluizio Abranches,18
2127,American Reunion,Jon Hurwitz,34
2128,American Reunion,Hayden Schlossberg,34
2129,The Big Red One,Samuel Fuller,19
2130,Whip It,Drew Barrymore,21
2131,The Three Musketeers,Richard Lester,28
2132,Elling,Petter Næss,22
2133,The Big Country,William Wyler,32
2134,An Affair to Remember,Leo McCarey,35
2135,Let's Go to Prison,Bob Odenkirk,17
2136,Happy Birthday to Me,J. Lee Thompson,17
2137,Eat Pray Love,Ryan Murphy,40
2138,In the Name of the Father,Jim Sheridan,41
2139,The Great Race,Blake Edwards,31
2140,Fucking Åmål,Lukas Moodysson,30
2141,The Grifters,Stephen Frears,24
2142,Ondine,Neil Jordan,16
2143,Holy Motors,Leos Carax,24
2144,A Woman's Face,George Cukor,18
2145,Vampyr,Carl Theodor Dreyer,23
2146,Saratoga,Jack Conway,18
2147,Abbott and Costello Meet the Mummy,Charles Lamont,18
2148,Abbott and Costello Meet Frankenstein,Charles Barton,26
2149,Heart of a Dog,Vladimir Bortko,19
2150,Lord of War,Andrew Niccol,51
2151,The Discreet Charm of the Bourgeoisie,Luis Buñuel,46
2152,Training Day,Antoine Fuqua,49
2153,Conan the Barbarian,John Milius,48
2154,Shooter,Antoine Fuqua,45
2155,King Kong,Merian C. Cooper,54
2156,King Kong,Ernest B. Schoedsack,54
2157,Licence to Kill,John Glen,53
2158,Singin' in the Rain,Stanley Donen,48
2159,Singin' in the Rain,Gene Kelly,48
2160,The Motorcycle Diaries,Walter Salles,44
2161,The Three Musketeers,Paul W. S. Anderson,31
2162,The Man with the Golden Gun,Guy Hamilton,52
2163,Paradise Now,Hany Abu-Assad,27
2164,Judgment at Nuremberg,Stanley Kramer,41
2165,The Mask of Zorro,Martin Campbell,43
2166,The Grudge,Takashi Shimizu,37
2167,Azuloscurocasinegro,Daniel Sánchez Arévalo,15
2168,Tristan & Isolde,Kevin Reynolds,30
2169,Inkheart,Iain Softley,29
2170,Flawless,Michael Radford,16
2171,Sophie Scholl – The Final Days,Marc Rothemund,31
2172,Speed Racer,Lilly Wachowski,33
2173,Speed Racer,Lana Wachowski,33
2174,Tortilla Flat,Victor Fleming,15
2175,Some Came Running,Vincente Minnelli,19
2176,Police Story 2,Jackie Chan,23
2177,What Just Happened,Barry Levinson,22
2178,Grandads-Robbers,Eldar Ryazanov,18
2179,Did You Hear About the Morgans?,Marc Lawrence,30
2180,The Bear,Jean-Jacques Annaud,26
2181,Super 8,J. J. Abrams,41
2182,Adventureland,Greg Mottola,30
2183,The Extraordinary Adventures of Adèle Blanc-Sec,Luc Besson,30
2184,Predators,Nimród Antal,42
2185,The Kids Are All Right,Lisa Cholodenko,38
2186,Julie & Julia,Nora Ephron,41
2187,Tropic Thunder,Ben Stiller,47
2188,Fast & Furious,Justin Lin,57
2189,Paranormal Activity,Oren Peli,43
2190,Burn After Reading,Joel Coen,43
2191,Burn After Reading,Ethan Coen,43
2192,Sex and the City,Michael Patrick King,44
2193,Gilda,Charles Vidor,37
2194,Home Alone 3,Raja Gosnell,46
2195,Bye Bye Monkey,Marco Ferreri,15
2196,Moonlight Mile,Brad Silberling,18
2197,Larry Crowne,Tom Hanks,33
2198,Sicko,Michael Moore,31
2199,Affair in Trinidad,Vincent Sherman,18
2200,Caché,Michael Haneke,34
2201,Gentlemen Prefer Blondes,Howard Hawks,46
2202,East/West,Régis Wargnier,19
2203,Flowers of Shanghai,Hou Hsiao-Hsien,17
2204,Rollerball,John McTiernan,19
2205,Africa Addio,Gualtiero Jacopetti,18
2206,Africa Addio,Franco E. Prosperi,18
2207,The Point Men,John Glen,15
2208,Mamá cumple cien años,Carlos Saura,17
2209,Beyond a Reasonable Doubt,Fritz Lang,19
2210,The African Queen,John Huston,49
2211,The Scarlet Letter,Victor Sjöström,16
2212,Naked Gun 33⅓: The Final Insult,Peter Segal,33
2213,3-Iron,Kim Ki-duk,28
2214,The Crucible,Hwang Dong-hyeok,15
2215,The Million Pound Note,Ronald Neame,17
2216,Appointment with Death,Michael Winner,22
2217,The Bothersome Man,Jens Lien,16
2218,Arabesque,Stanley Donen,25
2219,Different from the Others,Richard Oswald,22
2220,Tea and Sympathy,Vincente Minnelli,18
2221,Twin Sisters,Ben Sombogaart,18
2222,Der bewegte Mann,Sönke Wortmann,16
2223,Rosenstraße,Margarethe von Trotta,15
2224,Gattaca,Andrew Niccol,49
2225,Man Bites Dog,Benoît Poelvoorde,21
2226,Man Bites Dog,Rémy Belvaux,21
2227,Man Bites Dog,André Bonzel,21
2228,The Adjustment Bureau,George Nolfi,42
2229,While You Were Sleeping,Jon Turteltaub,36
2230,Murder Ahoy!,George Pollock,16
2231,Murder Most Foul,George Pollock,18
2232,Don Juan DeMarco,Jeremy Leven,37
2233,Architecture 101,Lee Yong-ju,17
2234,Female Agents,Jean-Paul Salomé,18
2235,The Devil Came at Night,Robert Siodmak,16
2236,Sexy Beast,Jonathan Glazer,23
2237,Stalingrad,Fyodor Bondarchuk,31
2238,The Host,Andrew Niccol,35
2239,Youth Without Youth,Francis Ford Coppola,17
2240,The Indian Tomb,Fritz Lang,16
2241,Code Unknown,Michael Haneke,18
2242,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,28
2243,Red Dawn,Dan Bradley,27
2244,The Man Who Shot Liberty Valance,John Ford,39
2245,Boot Hill,Giuseppe Colizzi,19
2246,The I Inside,Roland Suso Richter,16
2247,Screamers,Christian Duguay,20
2248,A Christmas Story,Bob Clark,22
2249,Chaplin,Richard Attenborough,35
2250,The Rundown,Peter Berg,37
2251,Fish Tank,Andrea Arnold,23
2252,Cop Land,James Mangold,29
2253,The Desert Fox: The Story of Rommel,Henry Hathaway,20
2254,The Third Generation,Rainer Werner Fassbinder,15
2255,When We Leave,Feo Aladag,15
2256,Clue,Jonathan Lynn,21
2257,Hungarian Rhapsody: Queen Live in Budapest,János Zsombolyai,18
2258,Tom & Viv,Brian Gilbert,15
2259,Never Talk to Strangers,Peter Hall,16
2260,The Wings of the Dove,Iain Softley,20
2261,Marvin's Room,Jerry Zaks,39
2262,Ace of Aces,Gérard Oury,18
2263,Love,Edmund Goulding,16
2264,Love,John Gilbert,16
2265,Anna Karenina,Clarence Brown,29
2266,Anna Karenina,Aleksandr Zarkhi,18
2267,The Bridges at Toko-Ri,Mark Robson,23
2268,MacArthur,Joseph Sargent,19
2269,Fixed Bayonets!,Samuel Fuller,16
2270,The House of the Spirits,Bille August,31
2271,Soul Kitchen,Fatih Akin,25
2272,The Night Porter,Liliana Cavani,29
2273,Tom Jones,Tony Richardson,42
2274,Everything Is Illuminated,Liev Schreiber,28
2275,The Tin Drum,Volker Schlöndorff,38
2276,Anonymous,Roland Emmerich,28
2277,The Black Dahlia,Brian De Palma,32
2278,Just Married,Shawn Levy,28
2279,The Hudsucker Proxy,Joel Coen,33
2280,The Hudsucker Proxy,Ethan Coen,33
2281,Mephisto,István Szabó,35
2282,Pandorum,Christian Alvart,29
2283,Four Christmases,Seth Gordon,30
2284,K-PAX,Iain Softley,39
2285,The Producers,Mel Brooks,37
2286,Nowhere in Africa,Caroline Link,29
2287,Big Momma's House,Raja Gosnell,31
2288,Stalingrad,Joseph Vilsmaier,26
2289,Pusher,Nicolas Winding Refn,19
2290,Billy Liar,John Schlesinger,16
2291,Mr. & Mrs. Smith,Alfred Hitchcock,26
2292,The Terminal,Steven Spielberg,57
2293,Sawdust and Tinsel,Ingmar Bergman,21
2294,Interview with the Vampire,Neil Jordan,51
2295,"Good Night, and Good Luck.",George Clooney,43
2296,China Seas,Tay Garnett,23
2297,Jack Frost,Alexander Rou,22
2298,That Man from Rio,Philippe de Broca,28
2299,Across the Pacific,John Huston,22
2300,Across the Pacific,Vincent Sherman,22
2301,"The Birds, the Bees and the Italians",Pietro Germi,20
2302,Rambo: First Blood Part II,George P. Cosmatos,49
2303,The Heartbreak Kid,Peter Farrelly,28
2304,Celebration Day,Dick Carruthers,17
2305,Where the Truth Lies,Atom Egoyan,20
2306,Runaway Jury,Gary Fleder,28
2307,Une liaison pornographique,Frédéric Fonteyne,16
2308,Out of Time,Carl Franklin,28
2309,Tideland,Terry Gilliam,19
2310,Nosferatu,F. W. Murnau,52
2311,Stranger than Fiction,Marc Forster,31
2312,Dirty Pretty Things,Stephen Frears,21
2313,Encino Man,Les Mayfield,21
2314,The Little Princess,Walter Lang,16
2315,The Little Princess,William A. Seiter,16
2316,In the Bedroom,Todd Field,28
2317,Eight Legged Freaks,Ellory Elkayem,26
2318,Dressed to Kill,Roy William Neill,18
2319,The Story of the Weeping Camel,Byambasuren Davaa,20
2320,The Story of the Weeping Camel,Luigi Falorni,20
2321,Ikiru,Akira Kurosawa,45
2322,Max et les Ferrailleurs,Claude Sautet,16
2323,César and Rosalie,Claude Sautet,19
2324,Womanlight,Costa-Gavras,15
2325,Battleship Potemkin,Sergei Eisenstein,67
2326,Munich,Steven Spielberg,58
2327,Sabrina,Billy Wilder,49
2328,Zero Dark Thirty,Kathryn Bigelow,45
2329,Life of Pi,Ang Lee,67
2330,Downfall,Oliver Hirschbiegel,60
2331,Resident Evil,Paul W. S. Anderson,52
2332,Chapaev,Sergei Vasilyev,30
2333,Chapaev,Georgi Vasilyev,30
2334,For a Few Dollars More,Sergio Leone,59
2335,Inglourious Basterds,Quentin Tarantino,75
2336,The Lives of Others,Florian Henckel von Donnersmarck,59
2337,Walk the Line,James Mangold,45
2338,Gangs of New York,Martin Scorsese,65
2339,Good Bye Lenin!,Wolfgang Becker,52
2340,(500) Days of Summer,Marc Webb,46
2341,The Name of the Rose,Jean-Jacques Annaud,50
2342,Antonia's Line,Marleen Gorris,25
2343,Alien vs. Predator,Paul W. S. Anderson,41
2344,Staying Alive,Sylvester Stallone,25
2345,The Fast and the Furious,Rob Cohen,62
2346,He's Just Not That Into You,Ken Kwapis,40
2347,Resident Evil: Extinction,Russell Mulcahy,43
2348,The Fugitive,Andrew Davis,48
2349,What Women Want,Nancy Meyers,44
2350,Triumph of the Will,Elene Larrinaga,44
2351,Underground,Emir Kusturica,40
2352,Highlander,Russell Mulcahy,47
2353,Men in Black II,Barry Sonnenfeld,51
2354,The Bourne Supremacy,Paul Greengrass,58
2355,Wings of Desire,Wim Wenders,45
2356,The Hours,Stephen Daldry,54
2357,The Boy in the Striped Pyjamas,Mark Herman,46
2358,The Ghost Writer,Roman Polanski,43
2359,The Wave,Dennis Gansel,36
2360,The Edukators,Hans Weingartner,27
2361,The White Ribbon,Michael Haneke,38
2362,The Blue Angel,Josef von Sternberg,40
2363,Olympia,Elene Larrinaga,32
2364,Iron Sky,Timo Vuorensola,33
2365,Eagle Eye,D.J. Caruso,37
2366,Post Grad,Vicky Jenson,16
2367,Unknown,Jaume Collet-Serra,38
2368,Valkyrie,Bryan Singer,50
2369,The Reader,Stephen Daldry,54
2370,Blade II,Guillermo del Toro,46
2371,Jumpin' Jack Flash,Penny Marshall,20
2372,The January Man,Pat O'Connor,16
2373,The Battle of the River Plate,Emeric Pressburger,19
2374,The Battle of the River Plate,Michael Powell,19
2375,Snowpiercer,Bong Joon-ho,44
2376,The Kentucky Fried Movie,John Landis,18
2377,Animals Are Beautiful People,Jamie Uys,18
2378,Coming to America,John Landis,41
2379,How to Make an American Quilt,Jocelyn Moorhouse,16
2380,Angel Heart,Alan Parker,37
2381,The Bourne Legacy,Tony Gilroy,45
2382,MASH,Robert Altman,44
2383,Silent Light,Carlos Reygadas,19
2384,The Bow,Kim Ki-duk,15
2385,The Deep,Peter Yates,25
2386,Taegukgi,Kang Je-gyu,27
2387,The Killing Fields,Roland Joffé,40
2388,D-War,Shim Hyung-rae,20
2389,In July,Fatih Akin,23
2390,Stand by Me,Rob Reiner,45
2391,"Spring, Summer, Fall, Winter... and Spring",Kim Ki-duk,39
2392,The Avengers,Jeremiah S. Chechik,21
2393,Inchon,Terence Young,17
2394,Sympathy for Lady Vengeance,Park Chan-wook,26
2395,Outbreak,Wolfgang Petersen,39
2396,The Front Line,Jang Hoon,15
2397,The Flight of the Phoenix,Robert Aldrich,23
2398,Downhill,Alfred Hitchcock,20
2399,Fierce Creatures,Fred Schepisi,23
2400,Fierce Creatures,Robert Young,23
2401,The Secret of My Success,Herbert Ross,23
2402,Dial M for Murder,Alfred Hitchcock,47
2403,Charade,Stanley Donen,45
2404,Escape from Alcatraz,Don Siegel,45
2405,Windstruck,Kwak Jae-yong,15
2406,A Moment to Remember,Lee Jae-han,17
2407,Click,Frank Coraci,44
2408,Welcome to Dongmakgol,Park Kwang-hyun,15
2409,The Chaser,Na Hong-jin,17
2410,Equus,Sidney Lumet,19
